Region,Country,Source Name,Type,Bias / Lean,Language,Notes
North America,United States,The New York Times,Newspaper / Digital,Center-Left,English,Paper of record; extensive investigative journalism
North America,United States,The Washington Post,Newspaper / Digital,Center-Left,English,Strong political coverage; owned by Jeff Bezos
North America,United States,The Wall Street Journal,Newspaper / Digital,Center-Right,English,Business focus; News Corpowned; news vs. editorial distinction
North America,United States,USA Today,Newspaper / Digital,Center,English,Broad national reach; Gannett-owned
North America,United States,Los Angeles Times,Newspaper / Digital,Center-Left,English,Major West Coast paper
North America,United States,Chicago Tribune,Newspaper / Digital,Center,English,Major Midwest daily
North America,United States,The Boston Globe,Newspaper / Digital,Center-Left,English,New England paper of record
North America,United States,San Francisco Chronicle,Newspaper / Digital,Center-Left,English,Bay Area focus
North America,United States,The Associated Press (AP),Wire Service,Center,English,Non-profit cooperative; global wire service
North America,United States,Reuters (US Bureau),Wire Service,Center,English,Global wire service; now Thomson Reuters
North America,United States,NPR,Public Radio / Digital,Center-Left,English,Publicly funded; in-depth reporting
North America,United States,PBS NewsHour,Public TV / Digital,Center-Left,English,Public television news
North America,United States,CNN,Cable TV / Digital,Center-Left,English,24-hour cable news; Warner Bros. Discovery
North America,United States,MSNBC,Cable TV / Digital,Left,English,Progressive-leaning cable news; NBCUniversal
North America,United States,Fox News,Cable TV / Digital,Right,English,Conservative cable news; dominant ratings
North America,United States,ABC News,Broadcast TV / Digital,Center-Left,English,Disney-owned network news
North America,United States,CBS News,Broadcast TV / Digital,Center,English,Paramount Global-owned
North America,United States,NBC News,Broadcast TV / Digital,Center-Left,English,NBCUniversal
North America,United States,Bloomberg,Financial News / Digital,Center,English,Terminal + media; business-centric
North America,United States,Politico,Digital,Center,English,DC-focused policy and politics
North America,United States,The Hill,Digital,Center,English,Congressional and policy coverage
North America,United States,Axios,Digital,Center,English,Short-form smart brevity style
North America,United States,The Atlantic,Magazine / Digital,Center-Left,English,Long-form analysis and culture
North America,United States,The New Yorker,Magazine / Digital,Left,English,Literary journalism and commentary
North America,United States,Vox,Digital,Left,English,Explainer journalism
North America,United States,HuffPost,Digital,Left,English,Progressive digital outlet
North America,United States,Mother Jones,Magazine / Digital,Left,English,Investigative; progressive nonprofit
North America,United States,The Intercept,Digital,Left,English,Investigative; civil liberties focus
North America,United States,Democracy Now!,Digital / Radio,Far Left,English,Independent; progressive activism
North America,United States,Jacobin,Magazine / Digital,Far Left,English,Socialist perspective
North America,United States,The Nation,Magazine / Digital,Left,English,Oldest weekly; progressive
North America,United States,National Review,Magazine / Digital,Right,English,Founded by Buckley; conservative intellectual
North America,United States,The Daily Wire,Digital,Right,English,Conservative media; Ben Shapiro
North America,United States,The Federalist,Digital,Right,English,Conservative commentary
North America,United States,Breitbart,Digital,Far Right,English,Right-wing populist
North America,United States,The Epoch Times,Newspaper / Digital,Far Right,English,Falun Gong-affiliated; conspiratorial content flagged
North America,United States,Newsmax,Cable TV / Digital,Right,English,Conservative alternative to Fox
North America,United States,One America News (OAN),Cable TV / Digital,Far Right,English,Far-right cable network
North America,United States,The American Conservative,Magazine / Digital,Right,English,Paleoconservative / realist foreign policy
North America,United States,Reason,Magazine / Digital,Center-Right,English,Libertarian perspective
North America,United States,ProPublica,Digital (Nonprofit),Center-Left,English,Investigative nonprofit; Pulitzer winners
North America,United States,The Marshall Project,Digital (Nonprofit),Center-Left,English,Criminal justice focused
North America,United States,Foreign Affairs,Magazine / Digital,Center,English,CFR publication; geopolitics
North America,United States,Foreign Policy,Magazine / Digital,Center,English,International affairs analysis
North America,United States,The Dispatch,Digital,Center-Right,English,Conservative but anti-populist
North America,United States,Semafor,Digital,Center,English,Global news; transparency model
North America,United States,The Free Press,Digital,Center-Right,English,Bari Weiss; heterodox commentary
North America,United States,Univision,TV / Digital,Center-Left,Spanish,Largest Spanish-language US network
North America,United States,Telemundo,TV / Digital,Center,Spanish,NBCUniversal Spanish-language
North America,Canada,CBC News,Public Broadcaster,Center-Left,English / French,State-funded; national broadcaster
North America,Canada,CTV News,TV / Digital,Center,English,Bell Media; largest private broadcaster
North America,Canada,Global News,TV / Digital,Center,English,Corus Entertainment
North America,Canada,The Globe and Mail,Newspaper / Digital,Center,English,National paper of record
North America,Canada,National Post,Newspaper / Digital,Center-Right,English,Postmedia; conservative editorial
North America,Canada,Toronto Star,Newspaper / Digital,Center-Left,English,Canada's largest daily
North America,Canada,La Presse,Digital,Center-Left,French,Montreal-based; nonprofit since 2018
North America,Canada,Le Devoir,Newspaper / Digital,Center-Left,French,Quebec intellectual daily
North America,Canada,The Walrus,Magazine / Digital,Center-Left,English,Long-form Canadian affairs
North America,Canada,Maclean's,Magazine / Digital,Center,English,National news magazine
North America,Canada,Rebel News,Digital,Far Right,English,Right-wing populist outlet
North America,Canada,The Narwhal,Digital (Nonprofit),Center-Left,English,Environmental investigative
North America,Canada,iPolitics,Digital,Center,English,Ottawa political coverage
North America,Canada,The Tyee,Digital (Nonprofit),Left,English,BC-based independent
North America,Canada,Western Standard,Digital,Right,English,Alberta-based conservative
North America,Mexico,El Universal,Newspaper / Digital,Center,Spanish,One of oldest Mexican dailies
North America,Mexico,Reforma,Newspaper / Digital,Center-Right,Spanish,Independent quality daily
North America,Mexico,La Jornada,Newspaper / Digital,Left,Spanish,Left-leaning; UNAM-connected
North America,Mexico,Milenio,Newspaper / Digital,Center,Spanish,Multiplatform media group
North America,Mexico,Proceso,Magazine / Digital,Left,Spanish,Investigative; critical of government
North America,Mexico,Animal Político,Digital,Center-Left,Spanish,Investigative digital outlet
North America,Mexico,Aristegui Noticias,Digital / Radio,Center-Left,Spanish,Carmen Aristegui; investigative
North America,Mexico,Televisa / N+,TV / Digital,Center-Right,Spanish,Dominant TV network
North America,Mexico,TV Azteca,TV / Digital,Center-Right,Spanish,Second largest TV network; Salinas Pliego
North America,Mexico,SinEmbargo,Digital,Left,Spanish,Digital; government-critical
North America,Mexico,Nexos,Magazine / Digital,Center-Left,Spanish,Intellectual/political analysis
