Region,Country,Source Name,Type,Bias / Lean,Language,RSS_URL
North America,United States,The Washington Post,Newspaper / Digital,Center-Left,English,https://feeds.washingtonpost.com/rss/homepage
North America,United States,The Wall Street Journal,Newspaper / Digital,Center-Right,English,https://feeds.a.dj.com/rss/RSSWorldNews.xml
North America,United States,Los Angeles Times,Newspaper / Digital,Center-Left,English,https://www.latimes.com/world/rss2.0.xml
North America,United States,NPR,Public Radio / Digital,Center-Left,English,https://feeds.npr.org/1001/rss.xml
North America,United States,PBS NewsHour,Public TV / Digital,Center-Left,English,https://www.pbs.org/newshour/feeds/rss/headlines
North America,United States,CNN,Cable TV / Digital,Center-Left,English,http://rss.cnn.com/rss/edition.rss
North America,United States,Fox News,Cable TV / Digital,Right,English,https://moxie.foxnews.com/google-publisher/latest.xml
North America,United States,ABC News,Broadcast TV / Digital,Center-Left,English,https://abcnews.go.com/abcnews/topstories
North America,United States,CBS News,Broadcast TV / Digital,Center,English,https://www.cbsnews.com/latest/rss/main
North America,United States,NBC News,Broadcast TV / Digital,Center-Left,English,https://feeds.nbcnews.com/nbcnews/public/news
North America,United States,Bloomberg,Financial News / Digital,Center,English,https://feeds.bloomberg.com/markets/news.rss
North America,United States,Politico,Digital,Center,English,https://rss.politico.com/politics-news.xml
North America,United States,The Hill,Digital,Center,English,https://thehill.com/feed/
North America,United States,Axios,Digital,Center,English,https://api.axios.com/feed/
North America,United States,The Atlantic,Magazine / Digital,Center-Left,English,https://www.theatlantic.com/feed/all/
North America,United States,The New Yorker,Magazine / Digital,Left,English,https://www.newyorker.com/feed/news
North America,United States,Vox,Digital,Left,English,https://www.vox.com/rss/index.xml
North America,United States,HuffPost,Digital,Left,English,https://www.huffpost.com/section/front-page/feed
North America,United States,Mother Jones,Magazine / Digital,Left,English,https://www.motherjones.com/feed/
North America,United States,The Intercept,Digital,Left,English,https://theintercept.com/feed/?rss
North America,United States,Democracy Now!,Digital / Radio,Far Left,English,https://www.democracynow.org/democracynow.rss
North America,United States,Jacobin,Magazine / Digital,Far Left,English,https://jacobin.com/feed/
North America,United States,The Nation,Magazine / Digital,Left,English,https://www.thenation.com/feed/?post_type=article
North America,United States,National Review,Magazine / Digital,Right,English,https://www.nationalreview.com/feed/
North America,United States,The Daily Wire,Digital,Right,English,https://www.dailywire.com/feeds/rss.xml
North America,United States,Breitbart,Digital,Far Right,English,http://feeds.feedburner.com/breitbart
